metric,value,unit
sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_active,5.515442,%
sm__inst_executed_pipe_alu.max.pct_of_peak_sustained_elapsed,4.447444,%
sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_alu.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_active,3.270823,%
sm__inst_executed_pipe_alu.sum.pct_of_peak_sustained_elapsed,2.637468,%
sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_active,0.324274,%
sm__inst_executed_pipe_cbu.avg.pct_of_peak_sustained_elapsed,0.261482,%
sm__inst_executed_pipe_cbu.max.pct_of_peak_sustained_active,0.599841,%
sm__inst_executed_pipe_cbu.max.pct_of_peak_sustained_elapsed,0.483689,%
sm__inst_executed_pipe_cbu.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_cbu.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_cbu.sum.pct_of_peak_sustained_active,0.324274,%
sm__inst_executed_pipe_cbu.sum.pct_of_peak_sustained_elapsed,0.261482,%
sm__inst_executed_pipe_cbu_pred_on_any.avg.pct_of_peak_sustained_elapsed,1.009822,%
sm__inst_executed_pipe_cbu_pred_on_any.max.pct_of_peak_sustained_elapsed,1.901263,%
sm__inst_executed_pipe_cbu_pred_on_any.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_cbu_pred_on_any.sum.pct_of_peak_sustained_elapsed,1.009822,%
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_active,0.879516,%
sm__inst_executed_pipe_fma.avg.pct_of_peak_sustained_elapsed,0.709208,%
sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_active,1.678170,%
sm__inst_executed_pipe_fma.max.pct_of_peak_sustained_elapsed,1.353213,%
sm__inst_executed_pipe_fma.min.pct_of_peak_sustained_active,0,%
sm__inst_executed_pipe_fma.min.pct_of_peak_sustained_elapsed,0,%
sm__inst_executed_pipe_fma.sum.pct_of_peak_sustained_active,0.879516,%
sm__inst_executed_pipe_fma.sum.pct_of_peak_sustained_elapsed,0.709208,%
sm__inst_executed_pipe_fma_type_fp16.avg.pct_of_peak_sustained_active,0,%
